_id,nombres,apellidos,email,email_validacion,password,estado,fullname,createdAT,tenant,__v
6852e00bec28a0201afd537f,Valeria Isabel,Díaz Nieto,valeria.díaz@yahoo.com,true,$2b$10$1/qDU4B3RAGeWNcgi1H/eeXB1kb2UAm.GetReHOgFVAOcOq0BVCsm,true,Valeria Isabel Díaz Nieto,2024-06-20T10:25:48.000Z,6852dbf5c4a6f8d1a81074f6,0
6852e00bec28a0201afd5380,Silvia Leticia,Gallego,silvia_gallego@gmail.com,true,$2b$10$QffW0TTmzwJ/7/fzFZbdgeBmDe4LPRk4ZVa/aJA.xFp/o39IZW.26,false,Silvia Leticia Gallego,2024-07-06T08:21:56.000Z,6852dbf5c4a6f8d1a81074f6,0
6852e00cec28a0201afd5381,Martín Juan,Cortés Díez,martíncortés95@mail.com,true,$2b$10$MPwSM/tlK7N22KTAbHwLjO3Ojsei2N.WlFV0frZrCp4WnFj30Vhry,true,Martín Juan Cortés Díez,2024-07-07T11:03:06.000Z,6852dbf5c4a6f8d1a81074f6,0
6852e00cec28a0201afd5382,Javier,Vidal Blanco,vidal.javier@hotmail.com,false,$2b$10$darQFaoRJ/uZo0w6hYFN4O6AiN/Tkx4zLaP/sElFbotyirEoNotsC,true,Javier Vidal Blanco,2024-08-07T14:50:25.000Z,6852dbf5c4a6f8d1a81074f6,0
6852e00cec28a0201afd5383,Javier,Pascual Rojas,javierpascual92@gmail.com,true,$2b$10$hXaWGwN9Pi3.7Y.6HiP1oucGXMaO2/pDZd.96622Mm3GeO78bP0oe,true,Javier Pascual Rojas,2024-08-08T18:53:11.000Z,6852dbf5c4a6f8d1a81074f6,0
6852e00cec28a0201afd5384,Gabriel,Alonso Lorenzo,gabriel503@mail.com,true,$2b$10$pz3VsKMisdFSZry2vEVEBuyS9lJElZaP4UgPBKLfB0MQlplSpjFfC,true,Gabriel Alonso Lorenzo,2024-09-28T23:29:13.000Z,6852dbf5c4a6f8d1a81074f6,0
6852e00cec28a0201afd5385,Alberto Alejandro,Santos,alberto866@protonmail.com,true,$2b$10$4cpnX7PP1QtlvL5NlOH/wuW3b4TbMJMkvu9.gufE43VnVzjy0j2IK,true,Alberto Alejandro Santos,2024-11-29T01:02:47.000Z,6852dbf5c4a6f8d1a81074f6,0
6852e00cec28a0201afd5386,Pilar,Gallego Gutiérrez,gallegop@mail.com,false,$2b$10$V3FtIY5zBFrQDD95OLUis.2QWP59N9.V.Rn2i2u.C36HoO7bzlmkm,true,Pilar Gallego Gutiérrez,2024-11-29T03:06:44.000Z,6852dbf5c4a6f8d1a81074f6,0
6852e00cec28a0201afd5387,Roberto,Benítez,roberto727@icloud.com,true,$2b$10$41SuBEgTRPiZr0gWtm8w3.JhL95l4cxTu5drhGqAFOBK.Z6yB6ppu,true,Roberto Benítez,2024-11-29T05:09:13.000Z,6852dbf5c4a6f8d1a81074f6,0
6852e00cec28a0201afd5388,Eduardo,Herrera,eduardo146@zoho.com,true,$2b$10$WYPssMdKLaA85Od1YzvGfeXvqBgHCu4FfThk9KLD.SfcUC7VMoIoi,true,Eduardo Herrera,2024-11-29T06:23:24.000Z,6852dbf5c4a6f8d1a81074f6,0
6852e00cec28a0201afd5389,Pablo,Benítez,pablobenítez71@protonmail.com,true,$2b$10$eWb9rwAFTv7tSyowstaWruYaCiOmPpqhne6.16AzXuwgaGmuNkvtG,true,Pablo Benítez,2024-11-29T06:32:42.000Z,6852dbf5c4a6f8d1a81074f6,0
6852e00cec28a0201afd538a,Isabel Patricia,Rubio,isabel.rubio@live.com,true,$2b$10$DKeB.nTsvdgXP1xQcqInPurGpuA9omD.xuS0PrlRZLo3i/mgMK7iu,true,Isabel Patricia Rubio,2024-11-29T07:15:49.000Z,6852dbf5c4a6f8d1a81074f6,0
6852e00cec28a0201afd538b,Gabriel Raúl,Jiménez Díez,gabriel.jiménez@zoho.com,true,$2b$10$Cy8Snht2FbZVp0uVlORmyuM0UuUApBL1OcRiRjM1ra8lKiouoJl6W,true,Gabriel Raúl Jiménez Díez,2024-11-29T08:15:34.000Z,6852dbf5c4a6f8d1a81074f6,0
